date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-28 06:00:00,9164.48000000,9215.66000000,9150.67000000,9163.03000000,1348.80977500,11070,48.0,0.056795634920634906
2018-04-28 07:00:00,9163.02000000,9171.07000000,9108.99000000,9126.22000000,1203.10081500,9368,46.0,0.1810185185185185
2018-04-28 08:00:00,9121.05000000,9330.00000000,9081.02000000,9217.48000000,3048.75337300,20295,67.0,0.19436507936507935
2018-04-28 09:00:00,9227.49000000,9300.40000000,9155.06000000,9273.00000000,1973.03508300,11412,61.0,0.07013774104683196
2018-04-28 10:00:00,9273.00000000,9310.00000000,9225.00000000,9277.29000000,1357.75811800,9232,56.0,0.04299242424242424
2018-04-28 11:00:00,9277.29000000,9287.56000000,9190.00000000,9218.57000000,754.87953500,6360,50.0,0.525
2018-04-28 12:00:00,9218.57000000,9400.01000000,9210.00000000,9378.07000000,2380.44852400,15124,53.0,0.07661717622655123
2018-04-28 13:00:00,9378.07000000,9419.00000000,9334.00000000,9387.99000000,1426.64491000,11593,52.0,0.024305555555555542
2018-04-28 14:00:00,9387.99000000,9427.48000000,9280.00000000,9311.02000000,2407.89920300,17222,53.0,0.1398313492063492
2018-04-28 15:00:00,9310.25000000,9361.86000000,9239.00000000,9360.00000000,1694.23599400,13292,54.0,0.035892857142857136
2018-04-28 16:00:00,9360.00000000,9384.40000000,9260.00000000,9316.29000000,1646.39150300,15084,54.0,0.10568181818181818
2018-04-28 17:00:00,9316.29000000,9365.35000000,9287.00000000,9290.00000000,1681.81613300,11596,47.0,0.1319023569023569
2018-04-28 18:00:00,9291.00000000,9410.00000000,9290.00000000,9390.52000000,1484.44802200,10158,55.0,0.1735930735930736
2018-04-28 19:00:00,9398.98000000,9404.99000000,9350.90000000,9393.00000000,836.80074300,7871,49.0,0.1980654761904762
2018-04-28 20:00:00,9393.00000000,9427.48000000,9300.00000000,9331.58000000,1302.67331500,11467,67.0,0.15449810606060607
2018-04-28 21:00:00,9313.73000000,9350.23000000,9258.00000000,9300.00000000,1234.69706400,11542,71.0,0.17668831168831167
2018-04-28 22:00:00,9300.01000000,9364.00000000,9300.00000000,9359.01000000,789.40725300,8332,61.0,0.06666666666666667
2018-04-28 23:00:00,9359.99000000,9384.12000000,9330.01000000,9348.00000000,877.27690900,7394,62.0,0.0
2018-04-29 00:00:00,9348.00000000,9427.48000000,9340.00000000,9405.00000000,1321.44326300,10573,60.0,0.271875
2018-04-29 00:00:00,9348.00000000,9427.48000000,9340.00000000,9405.00000000,1321.44326300,10573,76.0,0.271875
2018-04-29 01:00:00,9405.00000000,9513.90000000,9395.05000000,9499.50000000,2176.58099900,17455,65.0,0.01055555555555556
2018-04-29 02:00:00,9499.02000000,9570.51000000,9475.00000000,9543.96000000,1990.08495100,15027,84.0,0.1717171717171717
2018-04-29 03:00:00,9540.04000000,9544.80000000,9441.00000000,9484.26000000,1821.58497200,12773,81.0,-0.3333333333333333
2018-04-29 04:00:00,9484.24000000,9533.98000000,9460.00000000,9465.18000000,1393.13246900,9551,78.0,0.27626262626262627
2018-04-29 05:00:00,9467.98000000,9495.48000000,9400.11000000,9434.19000000,1324.79486700,10957,72.0,0.18333333333333335
2018-04-29 06:00:00,9434.20000000,9498.46000000,9414.00000000,9494.01000000,1070.22650300,9320,81.0,0.18224905303030303
2018-04-29 07:00:00,9494.01000000,9513.97000000,9430.46000000,9443.20000000,1198.31064800,12196,72.0,0.08876217532467533
2018-04-29 08:00:00,9443.20000000,9480.00000000,9259.98000000,9285.47000000,3408.44395200,23829,74.0,0.3728061224489796
2018-04-29 09:00:00,9285.48000000,9330.71000000,9207.00000000,9284.99000000,3746.45928200,26607,77.0,0.07916666666666666
2018-04-29 10:00:00,9284.99000000,9339.37000000,9163.74000000,9210.03000000,2687.53378600,19708,67.0,0.19642857142857142
2018-04-29 11:00:00,9210.03000000,9278.00000000,9171.03000000,9265.00000000,2289.10486400,17238,65.0,0.16458333333333336
2018-04-29 12:00:00,9265.00000000,9320.00000000,9205.00000000,9247.48000000,1722.46047100,14855,67.0,0.05304085867745535
2018-04-29 13:00:00,9247.40000000,9330.00000000,9247.40000000,9316.00000000,1511.22376000,12430,66.0,0.045388257575757575
2018-04-29 14:00:00,9318.99000000,9382.62000000,9270.59000000,9282.01000000,1655.88963100,14648,62.0,0.36
